sgis_adm_cd,resident_adm_code,district_name,adm_name,full_adm_name,population,age_60_69,age_70_79,age_80_89,age_90_99,age_100_plus,elderly_population_60_plus,elderly_ratio_60_plus,area_km2,elderly_density_per_km2,green_ratio_percent,shelter_count,shelter_capacity_total,shelters_per_1000_elderly,capacity_per_1000_elderly,coverage_ratio_500m_area,coverage_gap_500m_area,nearest_shelter_distance_m_centroid,estimated_covered_elderly_area,estimated_uncovered_elderly_area,grid_cell_count_100m,grid_population_total,grid_accessibility_index_exp_d_300,grid_accessibility_lack_score,grid_population_weighted_accessibility_index,grid_population_weighted_accessibility_lack_score,grid_mean_nearest_shelter_distance_m,grid_beyond_500m_ratio,heat_score,vulnerability_score,access_score_existing_area_based,priority_score_existing_pipeline,shelter_source_mode,boundary_source
22070710,2729065000,달서구,본동,대구광역시 달서구 본동,13106,2426,1427,582,120,1,4556,0.347627,1.12969,4032.965,30.9,8,275.0,1.756,60.36,1.0,0.0,106.083,4556.0,0.0,112,12903.0,0.565211,43.479,0.6296,37.04,185.746,0.0,0.0,37.559,1.776,13.679,cache,SGIS 2025 adm_cd=22 low_search=2
22070560,2729059000,달서구,본리동,대구광역시 달서구 본리동,22922,3461,1660,527,99,2,5749,0.250807,1.090608,5271.373,5.5,5,171.0,0.87,29.744,1.0,0.0,326.192,5749.0,0.0,108,22245.0,0.523616,47.638,0.526396,47.36,206.331,0.0,0.0,32.67,7.512,13.688,cache,SGIS 2025 adm_cd=22 low_search=2
22070650,2729062400,달서구,상인1동,대구광역시 달서구 상인1동,31853,5576,3078,1136,211,2,10003,0.314036,1.496466,6684.417,11.9,6,469.0,0.6,46.886,0.961371,0.038629,110.384,9616.6,386.4,153,32867.0,0.462395,53.761,0.466508,53.349,256.184,0.039216,0.0,45.015,3.282,16.74,cache,SGIS 2025 adm_cd=22 low_search=2
22070660,2729062500,달서구,상인2동,대구광역시 달서구 상인2동,16678,3309,1743,654,97,1,5804,0.348003,0.922777,6289.71,2.4,6,250.0,1.034,43.074,1.0,0.0,65.078,5804.0,0.0,96,17938.0,0.566282,43.372,0.545021,45.498,182.267,0.0,0.0,46.894,0.707,16.625,cache,SGIS 2025 adm_cd=22 low_search=2
22070670,2729062600,달서구,상인3동,대구광역시 달서구 상인3동,9403,2528,1931,771,147,4,5381,0.572264,3.634799,1480.412,83.7,2,102.0,0.372,18.956,0.222626,0.777374,1329.71,1197.9,4183.1,359,8966.0,0.112242,88.776,0.415127,58.487,1309.299,0.777159,0.0,50.225,61.721,36.095,cache,SGIS 2025 adm_cd=22 low_search=2
22070750,2729051500,달서구,성당동,대구광역시 달서구 성당동,19858,3820,2613,1035,169,4,7641,0.384782,1.996126,3827.915,25.7,9,369.0,1.178,48.292,0.898122,0.101878,198.635,6862.5,778.5,203,21254.0,0.491282,50.872,0.558053,44.195,248.116,0.108374,0.0,40.549,7.865,16.551,cache,SGIS 2025 adm_cd=22 low_search=2
22070690,2729063000,달서구,송현1동,대구광역시 달서구 송현1동,15838,3282,2198,921,149,3,6553,0.413752,2.442028,2683.425,56.1,6,206.0,0.916,31.436,0.569907,0.430093,403.811,3734.6,2818.4,241,16956.0,0.2992,70.08,0.563423,43.658,568.351,0.427386,0.0,38.824,25.058,21.106,cache,SGIS 2025 adm_cd=22 low_search=2
22070700,2729064000,달서구,송현2동,대구광역시 달서구 송현2동,17538,3545,2440,1092,197,2,7276,0.414871,0.969042,7508.448,1.6,6,213.0,0.825,29.274,1.0,0.0,118.188,7276.0,0.0,99,17672.0,0.5949,40.51,0.587618,41.238,165.206,0.0,0.0,58.814,2.091,21.212,cache,SGIS 2025 adm_cd=22 low_search=2
22070610,2729058500,달서구,신당동,대구광역시 달서구 신당동,27779,4707,2430,1070,165,1,8373,0.301415,9.049239,925.271,30.4,14,364.0,1.672,43.473,0.434475,0.565525,543.926,3637.9,4735.1,910,39872.0,0.227985,77.201,0.470772,52.923,598.697,0.565934,0.0,19.99,33.598,17.076,cache,SGIS 2025 adm_cd=22 low_search=2
22070720,2729057100,달서구,용산1동,대구광역시 달서구 용산1동,27761,5049,2145,880,117,2,8193,0.295126,1.312118,6244.103,13.1,5,175.0,0.61,21.36,0.812863,0.187137,312.75,6659.8,1533.2,134,28551.0,0.378142,62.186,0.379611,62.039,335.955,0.186567,0.0,41.25,13.916,18.612,cache,SGIS 2025 adm_cd=22 low_search=2
